  i            r          v_r          rho          t_r          t_e
110 1.248438e+14 2.299254e+09 2.662074e-13 1.007169e+05 9.064525e+04
111 1.288973e+14 2.299389e+09 2.529446e-13 9.922810e+04 8.930529e+04
112 1.330823e+14 2.305678e+09 2.404338e-13 9.777598e+04 8.799838e+04
113 1.374032e+14 2.317103e+09 2.281429e-13 9.634470e+04 8.671023e+04
114 1.418644e+14 2.320387e+09 2.157609e-13 9.493411e+04 8.544070e+04
115 1.464705e+14 2.317945e+09 2.038760e-13 9.358134e+04 8.422320e+04
116 1.512261e+14 2.316432e+09 1.924161e-13 9.230656e+04 8.307590e+04
117 1.561361e+14 2.318150e+09 1.822759e-13 9.105248e+04 8.194723e+04
118 1.612055e+14 2.314218e+09 1.729765e-13 8.976481e+04 8.078832e+04
119 1.664395e+14 2.304237e+09 1.643410e-13 8.849965e+04 7.964969e+04
120 1.718434e+14 2.294707e+09 1.561264e-13 8.732320e+04 7.859088e+04
121 1.774229e+14 2.287928e+09 1.482664e-13 8.617963e+04 7.756166e+04
122 1.831834e+14 2.280248e+09 1.413730e-13 8.498971e+04 7.649074e+04
123 1.891310e+14 2.266854e+09 1.346535e-13 8.378866e+04 7.540979e+04
124 1.952717e+14 2.252318e+09 1.286195e-13 8.265962e+04 7.439365e+04
125 2.016118e+14 2.237636e+09 1.226290e-13 8.158141e+04 7.342327e+04
126 2.081577e+14 2.220583e+09 1.173254e-13 8.049530e+04 7.244577e+04
127 2.149162e+14 2.196802e+09 1.118560e-13 7.939305e+04 7.145375e+04
128 2.218941e+14 2.173257e+09 1.072577e-13 7.830688e+04 7.047619e+04
129 2.290985e+14 2.156379e+09 1.026486e-13 7.723398e+04 6.951058e+04
130 2.365369e+14 2.138850e+09 9.865584e-14 7.616243e+04 6.854619e+04
131 2.442167e+14 2.107540e+09 9.460526e-14 7.509861e+04 6.758875e+04
132 2.521460e+14 2.070746e+09 9.127315e-14 7.406922e+04 6.666230e+04
133 2.603326e+14 2.044648e+09 8.868464e-14 7.307165e+04 6.576449e+04
134 2.687851e+14 2.023822e+09 8.597348e-14 7.207236e+04 6.486512e+04
135 2.775120e+14 1.994861e+09 8.364621e-14 7.103922e+04 6.393529e+04
136 2.865223e+14 1.957196e+09 8.105901e-14 6.999849e+04 6.299864e+04
137 2.958250e+14 1.928286e+09 7.984752e-14 6.896904e+04 6.207214e+04
138 3.054299e+14 1.903837e+09 7.838155e-14 6.793622e+04 6.114260e+04
