  i            r          v_r          rho          t_r          t_e
110 7.472329e+14 4.484320e+09 5.620064e-15 4.525171e+04 4.072654e+04
111 7.714940e+14 4.548594e+09 5.063555e-15 4.444812e+04 4.000331e+04
112 7.965428e+14 4.605625e+09 4.596004e-15 4.367415e+04 3.930674e+04
113 8.224050e+14 4.631092e+09 4.180567e-15 4.297202e+04 3.867482e+04
114 8.491068e+14 4.660126e+09 3.781784e-15 4.236768e+04 3.813091e+04
115 8.766756e+14 4.717135e+09 3.409457e-15 4.179793e+04 3.761814e+04
116 9.051394e+14 4.785546e+09 3.085588e-15 4.118344e+04 3.706509e+04
117 9.345275e+14 4.846746e+09 2.802502e-15 4.053095e+04 3.647786e+04
118 9.648697e+14 4.921161e+09 2.527192e-15 3.987672e+04 3.588905e+04
119 9.961970e+14 5.011400e+09 2.269233e-15 3.922648e+04 3.530383e+04
120 1.028542e+15 5.093139e+09 2.043638e-15 3.857448e+04 3.471703e+04
121 1.061936e+15 5.158086e+09 1.860956e-15 3.795631e+04 3.416068e+04
122 1.096415e+15 5.230692e+09 1.705774e-15 3.738580e+04 3.364722e+04
123 1.132013e+15 5.309498e+09 1.571035e-15 3.684493e+04 3.316043e+04
124 1.168768e+15 5.353942e+09 1.451817e-15 3.628395e+04 3.265555e+04
125 1.206715e+15 5.356643e+09 1.350707e-15 3.571620e+04 3.214458e+04
126 1.245895e+15 5.388585e+09 1.257250e-15 3.520458e+04 3.168412e+04
127 1.286346e+15 5.509305e+09 1.168358e-15 3.476424e+04 3.128782e+04
128 1.328111e+15 5.641030e+09 1.085208e-15 3.436152e+04 3.092537e+04
129 1.371233e+15 5.688696e+09 1.015430e-15 3.395524e+04 3.055972e+04
130 1.415754e+15 5.699349e+09 9.423229e-16 3.359040e+04 3.023136e+04
131 1.461720e+15 5.763735e+09 8.659633e-16 3.330096e+04 2.997086e+04
132 1.509179e+15 5.887543e+09 7.871556e-16 3.305970e+04 2.975373e+04
133 1.558179e+15 6.015685e+09 7.128431e-16 3.281281e+04 2.953153e+04
134 1.608770e+15 6.151622e+09 6.402589e-16 3.253436e+04 2.928093e+04
135 1.661004e+15 6.344521e+09 5.729145e-16 3.222373e+04 2.900135e+04
136 1.714933e+15 6.591483e+09 5.116787e-16 3.194138e+04 2.874724e+04
137 1.770614e+15 6.791853e+09 4.504322e-16 3.175100e+04 2.857590e+04
138 1.828102e+15 6.946967e+09 3.961619e-16 3.159068e+04 2.843161e+04
139 1.887457e+15 7.111511e+09 3.511822e-16 3.137938e+04 2.824144e+04
140 1.948739e+15 7.349980e+09 3.150160e-16 3.117076e+04 2.805369e+04
141 2.012010e+15 7.563401e+09 2.801191e-16 3.108391e+04 2.797552e+04
142 2.077336e+15 7.704567e+09 2.474042e-16 3.106552e+04 2.795897e+04
143 2.144783e+15 7.812219e+09 2.237546e-16 3.096158e+04 2.786543e+04
144 2.214420e+15 7.922581e+09 2.062862e-16 3.077180e+04 2.769462e+04
145 2.286317e+15 8.020981e+09 1.924396e-16 3.066689e+04 2.760020e+04
146 2.360549e+15 7.992229e+09 1.802270e-16 3.077969e+04 2.770172e+04
147 2.437192e+15 7.877966e+09 1.696798e-16 3.098317e+04 2.788485e+04
148 2.516322e+15 7.779147e+09 1.621902e-16 3.108446e+04 2.797601e+04
149 2.598022e+15 7.710549e+09 1.567500e-16 3.114695e+04 2.803225e+04
150 2.682375e+15 7.599136e+09 1.534890e-16 3.127391e+04 2.814652e+04
151 2.769466e+15 7.348696e+09 1.538665e-16 3.156564e+04 2.840907e+04
152 2.859385e+15 6.944517e+09 1.545155e-16 3.192047e+04 2.872842e+04
153 2.952223e+15 6.423102e+09 0.000000e+00 0.000000e+00 0.000000e+00
154 3.048076e+15 6.423102e+09 0.000000e+00 0.000000e+00 0.000000e+00
