  i   j inwind            r        theta           v_x          v_y           v_z          rho          t_e          t_r
  0  85     -1 2.171758e+13 6.071429e+01  2.623133e+09 0.000000e+00  1.980899e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  86     -1 2.171758e+13 6.142857e+01  2.419519e+09 0.000000e+00  1.820247e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  87     -1 2.171758e+13 6.214286e+01  2.232091e+09 0.000000e+00  1.674860e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  88     -1 2.171758e+13 6.285714e+01  2.064106e+09 0.000000e+00  1.544932e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  89     -1 2.171758e+13 6.357143e+01  1.914898e+09 0.000000e+00  1.429630e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  90     -1 2.171758e+13 6.428571e+01  1.783191e+09 0.000000e+00  1.328237e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  91     -1 2.171758e+13 6.500000e+01  1.667040e+09 0.000000e+00  1.240052e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  92     -1 2.171758e+13 6.571429e+01  1.564830e+09 0.000000e+00  1.163399e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  93     -1 2.171758e+13 6.642857e+01  1.474343e+09 0.000000e+00  1.096747e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  94     -1 2.171758e+13 6.714286e+01  1.391933e+09 0.000000e+00  1.037634e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  95     -1 2.171758e+13 6.785714e+01  1.314712e+09 0.000000e+00  9.840480e+08 0.000000e+00 0.000000e+00 0.000000e+00
  0  96     -1 2.171758e+13 6.857143e+01  1.240569e+09 0.000000e+00  9.342502e+08 0.000000e+00 0.000000e+00 0.000000e+00
  0  97     -1 2.171758e+13 6.928571e+01  1.165156e+09 0.000000e+00  8.851541e+08 0.000000e+00 0.000000e+00 0.000000e+00
  0  98     -1 2.171758e+13 7.000000e+01  1.086045e+09 0.000000e+00  8.352461e+08 0.000000e+00 0.000000e+00 0.000000e+00
  0  99     -1 2.171758e+13 7.071429e+01  1.001870e+09 0.000000e+00  7.835047e+08 0.000000e+00 0.000000e+00 0.000000e+00
  0 100     -1 2.171758e+13 7.142857e+01  9.102755e+08 0.000000e+00  7.283140e+08 0.000000e+00 0.000000e+00 0.000000e+00
  0 101     -1 2.171758e+13 7.214286e+01  8.104914e+08 0.000000e+00  6.698879e+08 0.000000e+00 0.000000e+00 0.000000e+00
  0 102     -1 2.171758e+13 7.285714e+01  7.023678e+08 0.000000e+00  6.089659e+08 0.000000e+00 0.000000e+00 0.000000e+00
  0 103     -1 2.171758e+13 7.357143e+01  5.869261e+08 0.000000e+00  5.471609e+08 0.000000e+00 0.000000e+00 0.000000e+00
  0 104     -1 2.171758e+13 7.428571e+01  4.653980e+08 0.000000e+00  4.851788e+08 0.000000e+00 0.000000e+00 0.000000e+00
  0 105     -1 2.171758e+13 7.500000e+01  3.400994e+08 0.000000e+00  4.236441e+08 0.000000e+00 0.000000e+00 0.000000e+00
