        r    i inwind converge       v_x       v_y       v_z       vol       rho        ne       t_e   t_e_old      dt_e  dt_e_old       t_r   t_r_old         w  heat_tot heat_tot_  cool_tot      ntot        ip    nioniz      gain macro_bf_ macro_bf_ 
6.382e+13   33      0        0  2.16e+09  0.00e+00  0.00e+00  1.10e+41  7.96e-13  4.08e+11  1.70e+05  1.70e+05  7.77e+01 -2.63e+01  1.33e+05  1.34e+05  6.07e+00  1.53e+42  1.53e+42  1.53e+42  2.43e+07  6.96e+05  2.26e+07  7.88e-01  0.00e+00  0.00e+00 
6.589e+13   34      0        0  2.16e+09  0.00e+00  0.00e+00  1.21e+41  7.55e-13  3.87e+11  1.67e+05  1.67e+05  1.56e+01 -8.47e+01  1.32e+05  1.32e+05  5.83e+00  1.44e+42  1.44e+42  1.44e+42  2.40e+07  6.78e+05  2.23e+07  5.22e-01  0.00e+00  0.00e+00 
6.803e+13   35      0        0  2.16e+09  0.00e+00  0.00e+00  1.33e+41  7.16e-13  3.67e+11  1.64e+05  1.64e+05 -5.73e+00 -5.42e+01  1.31e+05  1.31e+05  5.59e+00  1.35e+42  1.35e+42  1.35e+42  2.38e+07  6.61e+05  2.20e+07  3.51e-01  0.00e+00  0.00e+00 
7.024e+13   36      0        0  2.15e+09  0.00e+00  0.00e+00  1.46e+41  6.79e-13  3.48e+11  1.61e+05  1.61e+05 -8.83e+00 -6.72e+01  1.29e+05  1.29e+05  5.37e+00  1.27e+42  1.27e+42  1.27e+42  2.36e+07  6.43e+05  2.18e+07  5.52e-01  0.00e+00  0.00e+00 
7.252e+13   37      0        0  2.15e+09  0.00e+00  0.00e+00  1.61e+41  6.44e-13  3.30e+11  1.58e+05  1.58e+05 -2.65e+01 -8.21e+01  1.28e+05  1.28e+05  5.15e+00  1.20e+42  1.20e+42  1.20e+42  2.34e+07  6.26e+05  2.15e+07  5.52e-01  0.00e+00  0.00e+00 
7.488e+13   38      0        0  2.16e+09  0.00e+00  0.00e+00  1.77e+41  6.10e-13  3.13e+11  1.55e+05  1.55e+05  3.46e+00 -6.91e+01  1.26e+05  1.26e+05  4.93e+00  1.13e+42  1.13e+42  1.13e+42  2.31e+07  6.08e+05  2.12e+07  3.32e-01  0.00e+00  0.00e+00 
7.731e+13   39      0        0  2.16e+09  0.00e+00  0.00e+00  1.95e+41  5.79e-13  2.96e+11  1.52e+05  1.52e+05 -3.41e+01 -5.67e+01  1.25e+05  1.25e+05  4.72e+00  1.06e+42  1.06e+42  1.06e+42  2.29e+07  5.91e+05  2.09e+07  5.74e-01  0.00e+00  0.00e+00 
7.982e+13   40      0        0  2.17e+09  0.00e+00  0.00e+00  2.15e+41  5.49e-13  2.81e+11  1.50e+05  1.50e+05 -1.42e+01 -9.40e+00  1.24e+05  1.24e+05  4.52e+00  9.97e+41  9.97e+41  9.98e+41  2.27e+07  5.75e+05  2.06e+07  2.23e-01  0.00e+00  0.00e+00 
8.241e+13   41      0        0  2.17e+09  0.00e+00  0.00e+00  2.36e+41  5.21e-13  2.67e+11  1.47e+05  1.47e+05 -4.44e+01  3.81e+01  1.22e+05  1.22e+05  4.33e+00  9.38e+41  9.38e+41  9.39e+41  2.24e+07  5.58e+05  2.04e+07  5.02e-01  0.00e+00  0.00e+00 
8.508e+13   42      0        0  2.18e+09  0.00e+00  0.00e+00  2.60e+41  4.93e-13  2.53e+11  1.44e+05  1.44e+05 -6.08e+01  7.52e+00  1.21e+05  1.21e+05  4.15e+00  8.83e+41  8.83e+41  8.83e+41  2.22e+07  5.43e+05  2.01e+07  5.22e-01  0.00e+00  0.00e+00 
8.785e+13   43      0        0  2.19e+09  0.00e+00  0.00e+00  2.86e+41  4.68e-13  2.40e+11  1.42e+05  1.42e+05 -3.60e+01  4.24e+01  1.20e+05  1.20e+05  3.97e+00  8.32e+41  8.32e+41  8.32e+41  2.20e+07  5.27e+05  1.98e+07  3.19e-01  0.00e+00  0.00e+00 
9.070e+13   44      0        0  2.20e+09  0.00e+00  0.00e+00  3.15e+41  4.44e-13  2.27e+11  1.39e+05  1.39e+05  1.10e+01 -2.26e+01  1.18e+05  1.18e+05  3.80e+00  7.84e+41  7.84e+41  7.84e+41  2.18e+07  5.12e+05  1.95e+07  3.19e-01  0.00e+00  0.00e+00 
9.364e+13   45      0        0  2.21e+09  0.00e+00  0.00e+00  3.47e+41  4.21e-13  2.15e+11  1.37e+05  1.37e+05 -2.77e+01 -8.15e+00  1.17e+05  1.17e+05  3.63e+00  7.38e+41  7.38e+41  7.38e+41  2.16e+07  4.99e+05  1.93e+07  4.31e-01  0.00e+00  0.00e+00 
9.668e+13   46      0        0  2.22e+09  0.00e+00  0.00e+00  3.82e+41  3.98e-13  2.04e+11  1.35e+05  1.35e+05  2.25e+01 -1.04e+02  1.16e+05  1.16e+05  3.48e+00  6.94e+41  6.94e+41  6.94e+41  2.14e+07  4.86e+05  1.90e+07  2.74e-01  0.00e+00  0.00e+00 
9.982e+13   47      0        0  2.23e+09  0.00e+00  0.00e+00  4.20e+41  3.77e-13  1.93e+11  1.32e+05  1.32e+05 -1.52e+01 -5.27e+01  1.15e+05  1.15e+05  3.33e+00  6.55e+41  6.55e+41  6.55e+41  2.12e+07  4.72e+05  1.88e+07  4.31e-01  0.00e+00  0.00e+00 
1.031e+14   48      0        0  2.24e+09  0.00e+00  0.00e+00  4.63e+41  3.59e-13  1.84e+11  1.30e+05  1.30e+05  5.15e+01 -1.91e+01  1.13e+05  1.13e+05  3.19e+00  6.21e+41  6.21e+41  6.21e+41  2.10e+07  4.58e+05  1.85e+07  3.32e-01  0.00e+00  0.00e+00 
1.064e+14   49      0        0  2.26e+09  0.00e+00  0.00e+00  5.09e+41  3.41e-13  1.75e+11  1.28e+05  1.28e+05  1.93e+00  6.08e+01  1.12e+05  1.12e+05  3.06e+00  5.88e+41  5.88e+41  5.88e+41  2.08e+07  4.45e+05  1.83e+07  5.02e-01  0.00e+00  0.00e+00 
1.099e+14   50      0        0  2.26e+09  0.00e+00  0.00e+00  5.60e+41  3.24e-13  1.66e+11  1.26e+05  1.26e+05 -8.74e+00  1.46e+02  1.11e+05  1.11e+05  2.92e+00  5.57e+41  5.57e+41  5.57e+41  2.06e+07  4.32e+05  1.81e+07  4.31e-01  0.00e+00  0.00e+00 
1.134e+14   51      0        0  2.27e+09  0.00e+00  0.00e+00  6.17e+41  3.08e-13  1.58e+11  1.24e+05  1.24e+05 -2.57e+01  1.52e+02  1.10e+05  1.10e+05  2.80e+00  5.28e+41  5.28e+41  5.28e+41  2.05e+07  4.20e+05  1.79e+07  4.31e-01  0.00e+00  0.00e+00 
1.171e+14   52      0        0  2.28e+09  0.00e+00  0.00e+00  6.79e+41  2.93e-13  1.50e+11  1.22e+05  1.22e+05  5.30e+01  2.19e+01  1.09e+05  1.09e+05  2.68e+00  5.02e+41  5.02e+41  5.02e+41  2.03e+07  4.07e+05  1.76e+07  5.22e-01  0.00e+00  0.00e+00 
1.209e+14   53      0        0  2.29e+09  0.00e+00  0.00e+00  7.47e+41  2.79e-13  1.43e+11  1.20e+05  1.20e+05  6.22e+01  3.63e+01  1.08e+05  1.08e+05  2.57e+00  4.77e+41  4.77e+41  4.78e+41  2.01e+07  3.95e+05  1.74e+07  5.02e-01  0.00e+00  0.00e+00 
1.248e+14   54      0        0  2.30e+09  0.00e+00  0.00e+00  8.22e+41  2.65e-13  1.36e+11  1.18e+05  1.19e+05  5.54e+01 -9.77e+00  1.07e+05  1.07e+05  2.45e+00  4.54e+41  4.54e+41  4.55e+41  2.00e+07  3.83e+05  1.72e+07  6.16e-01  0.00e+00  0.00e+00 
1.289e+14   55      0        0  2.30e+09  0.00e+00  0.00e+00  9.05e+41  2.52e-13  1.29e+11  1.17e+05  1.17e+05 -7.56e+00  2.94e+01  1.06e+05  1.06e+05  2.35e+00  4.32e+41  4.32e+41  4.32e+41  1.98e+07  3.72e+05  1.70e+07  1.56e-01  0.00e+00  0.00e+00 
1.331e+14   56      0        0  2.31e+09  0.00e+00  0.00e+00  9.96e+41  2.40e-13  1.23e+11  1.15e+05  1.15e+05  1.14e+01 -1.82e+01  1.05e+05  1.05e+05  2.25e+00  4.10e+41  4.10e+41  4.10e+41  1.97e+07  3.61e+05  1.68e+07  1.56e-01  0.00e+00  0.00e+00 
1.374e+14   57      0        0  2.32e+09  0.00e+00  0.00e+00  1.10e+42  2.27e-13  1.16e+11  1.13e+05  1.13e+05 -1.68e+01  4.38e+01  1.04e+05  1.04e+05  2.15e+00  3.90e+41  3.90e+41  3.90e+41  1.95e+07  3.52e+05  1.66e+07  3.02e-01  0.00e+00  0.00e+00 
