  i            r          v_r          rho          t_r          t_e
126 1.245895e+15 2.137709e+09 3.427440e-16 2.701646e+04 2.431481e+04
127 1.286346e+15 2.106711e+09 3.358533e-16 2.703996e+04 2.433596e+04
128 1.328111e+15 2.025237e+09 3.252888e-16 2.705286e+04 2.434758e+04
129 1.371233e+15 1.954875e+09 3.184630e-16 2.701544e+04 2.431389e+04
130 1.415754e+15 1.915548e+09 3.102058e-16 2.695742e+04 2.426168e+04
131 1.461720e+15 1.838718e+09 3.050499e-16 2.695608e+04 2.426047e+04
132 1.509179e+15 1.722707e+09 2.977719e-16 2.695979e+04 2.426382e+04
133 1.558179e+15 1.599304e+09 2.877809e-16 2.692636e+04 2.423372e+04
134 1.608770e+15 1.500816e+09 2.809573e-16 2.687629e+04 2.418866e+04
135 1.661004e+15 1.378005e+09 2.643928e-16 2.689659e+04 2.420693e+04
136 1.714933e+15 1.268449e+09 2.469298e-16 2.695390e+04 2.425851e+04
137 1.770614e+15 1.113473e+09 2.261485e-16 2.696097e+04 2.426487e+04
138 1.828102e+15 9.752000e+08 2.062399e-16 2.693934e+04 2.424541e+04
139 1.887457e+15 8.277937e+08 1.858124e-16 2.696135e+04 2.426521e+04
140 1.948739e+15 6.822313e+08 1.683593e-16 2.702840e+04 2.432556e+04
141 2.012010e+15 5.295349e+08 1.530507e-16 2.704005e+04 2.433605e+04
142 2.077336e+15 4.230159e+08 1.372689e-16 2.701476e+04 2.431328e+04
143 2.144783e+15 3.259060e+08 1.271574e-16 2.700825e+04 2.430742e+04
144 2.214420e+15 2.800036e+08 1.179712e-16 2.706474e+04 2.435826e+04
145 2.286317e+15 2.536017e+08 1.095191e-16 2.709505e+04 2.438555e+04
146 2.360549e+15 2.126334e+08 1.027183e-16 2.706945e+04 2.436250e+04
147 2.437192e+15 1.800157e+08 9.438030e-17 2.702640e+04 2.432376e+04
148 2.516322e+15 1.232748e+08 8.824909e-17 2.704594e+04 2.434134e+04
149 2.598022e+15 1.064150e+08 8.385848e-17 2.710551e+04 2.439496e+04
150 2.682375e+15 1.124864e+08 7.884143e-17 2.712795e+04 2.441515e+04
151 2.769466e+15 9.412457e+07 7.538499e-17 2.710284e+04 2.439256e+04
152 2.859385e+15 9.611794e+07 7.379171e-17 2.706264e+04 2.435638e+04
153 2.952223e+15 1.199239e+08 0.000000e+00 0.000000e+00 0.000000e+00
154 3.048076e+15 1.199239e+08 0.000000e+00 0.000000e+00 0.000000e+00
